param_n_estimators,param_max_features,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,mean_test_score,rank_test_score,mean_fit_time
80,0.5,8,32,3,0.967032967032967,1,0.11117672920227051
80,0.5,,32,3,0.967032967032967,1,0.11023783683776855
80,0.5,,16,3,0.967032967032967,1,0.11236572265625
80,0.5,8,16,3,0.967032967032967,1,0.11319303512573242
80,0.5,5,,3,0.9648351648351648,5,0.10611772537231445
80,0.5,5,32,3,0.9648351648351648,5,0.1092989444732666
120,0.5,,,1,0.9648351648351648,5,0.16968226432800293
80,0.5,8,16,1,0.9648351648351648,5,0.11512899398803711
80,0.5,5,,1,0.9648351648351648,5,0.10963606834411621
80,0.5,8,,3,0.9648351648351648,5,0.11027288436889648
40,0.5,5,,1,0.9648351648351648,5,0.05646991729736328
80,0.5,5,16,3,0.9648351648351648,5,0.10607409477233887
80,0.5,,16,1,0.9648351648351648,5,0.11475586891174316
80,0.5,,,1,0.9648351648351648,5,0.11521100997924805
80,0.5,,,3,0.9648351648351648,5,0.10939407348632812
120,0.5,8,,3,0.9626373626373627,16,0.1642618179321289
120,0.5,8,16,1,0.9626373626373627,16,0.17164397239685059
120,0.5,,,3,0.9626373626373627,16,0.16535568237304688
120,0.5,,16,1,0.9626373626373627,16,0.1691882610321045
80,0.5,,32,1,0.9626373626373627,16,0.11689591407775879
120,0.5,,32,1,0.9626373626373627,16,0.17224407196044922
120,0.5,8,,1,0.9626373626373627,16,0.1705319881439209
120,0.5,5,16,1,0.9626373626373627,16,0.1618947982788086
80,0.5,8,32,1,0.9626373626373627,16,0.11741018295288086
80,0.5,8,,1,0.9626373626373627,16,0.11602616310119629
120,0.5,8,32,1,0.9626373626373627,16,0.17334294319152832
120,0.5,5,32,1,0.9626373626373627,16,0.16513609886169434
120,0.5,5,16,3,0.9604395604395605,28,0.1591019630432129
80,0.5,5,32,1,0.9604395604395605,28,0.11070704460144043
120,0.5,,32,3,0.9604395604395605,28,0.1645658016204834
80,0.5,5,16,1,0.9604395604395605,28,0.1085050106048584
120,0.5,5,,3,0.9604395604395605,28,0.15955829620361328
120,0.5,5,,1,0.9604395604395605,28,0.16238188743591309
120,0.5,,16,3,0.9604395604395605,28,0.1659073829650879
120,0.5,8,32,3,0.9604395604395605,28,0.16481733322143555
120,0.5,8,16,3,0.9604395604395605,28,0.1660161018371582
120,0.5,5,32,3,0.9604395604395605,28,0.16239094734191895
80,log2,,,3,0.9604395604395605,28,0.052979230880737305
120,log2,,32,3,0.9582417582417583,39,0.08927798271179199
120,sqrt,5,,1,0.9582417582417583,39,0.08554506301879883
80,sqrt,8,,3,0.9582417582417583,39,0.06148362159729004
120,sqrt,5,16,1,0.9582417582417583,39,0.08386707305908203
120,log2,,,1,0.9582417582417583,39,0.08053803443908691
120,sqrt,8,,1,0.9582417582417583,39,0.09049296379089355
80,sqrt,,,3,0.9582417582417583,39,0.06342506408691406
120,log2,8,,1,0.9582417582417583,39,0.08077311515808105
80,log2,5,,3,0.9582417582417583,39,0.0674448013305664
80,log2,8,,3,0.9582417582417583,39,0.05339789390563965
80,log2,5,32,1,0.9582417582417583,39,0.05376577377319336
120,log2,8,32,3,0.9560439560439561,50,0.08075785636901855
40,0.5,5,,3,0.9560439560439561,50,0.05473613739013672
80,sqrt,8,16,3,0.9560439560439561,50,0.056555986404418945
120,log2,8,16,3,0.9560439560439561,50,0.07680797576904297
120,sqrt,,,1,0.9560439560439561,50,0.11929798126220703
120,log2,5,,1,0.9560439560439561,50,0.09704017639160156
120,log2,8,32,1,0.9560439560439561,50,0.08149886131286621
80,log2,5,32,3,0.9560439560439561,50,0.051637887954711914
120,log2,8,16,1,0.9560439560439561,50,0.07677698135375977
120,log2,5,32,1,0.9560439560439561,50,0.07892608642578125
80,log2,5,,1,0.9560439560439561,50,0.05266618728637695
120,sqrt,5,32,1,0.9560439560439561,50,0.08669781684875488
120,log2,5,32,3,0.9560439560439561,50,0.07695508003234863
80,sqrt,,16,1,0.9560439560439561,50,0.056159019470214844
80,log2,,,1,0.9560439560439561,50,0.05387997627258301
120,log2,,32,1,0.9560439560439561,50,0.07913899421691895
120,log2,,16,3,0.9560439560439561,50,0.07628226280212402
120,log2,,16,1,0.9560439560439561,50,0.07517790794372559
120,log2,,,3,0.9560439560439561,50,0.07834410667419434
120,sqrt,,,3,0.9560439560439561,50,0.08946084976196289
120,sqrt,8,,3,0.9560439560439561,50,0.08851981163024902
80,log2,5,16,3,0.9560439560439561,50,0.05160188674926758
120,sqrt,8,16,1,0.9560439560439561,50,0.08562374114990234
80,sqrt,,16,3,0.9560439560439561,50,0.05576515197753906
120,sqrt,,16,1,0.9560439560439561,50,0.08460474014282227
80,log2,,32,3,0.9560439560439561,50,0.07053494453430176
80,sqrt,8,16,1,0.9560439560439561,50,0.057540178298950195
120,sqrt,8,32,3,0.9538461538461539,77,0.08662819862365723
40,0.5,5,32,1,0.9538461538461539,77,0.05582785606384277
80,sqrt,8,,1,0.9538461538461539,77,0.060096025466918945
120,sqrt,8,16,3,0.9538461538461539,77,0.08466315269470215
120,log2,5,16,3,0.9538461538461539,77,0.07761716842651367
40,0.5,5,16,1,0.9538461538461539,77,0.05583500862121582
120,sqrt,8,32,1,0.9538461538461539,77,0.0895540714263916
80,log2,,32,1,0.9538461538461539,77,0.05403614044189453
80,sqrt,,32,3,0.9538461538461539,77,0.06231427192687988
80,sqrt,5,,3,0.9538461538461539,77,0.056078195571899414
120,sqrt,5,,3,0.9538461538461539,77,0.08459091186523438
80,sqrt,8,32,3,0.9538461538461539,77,0.0577092170715332
40,log2,,32,1,0.9538461538461539,77,0.027008056640625
80,sqrt,5,16,3,0.9538461538461539,77,0.05594491958618164
120,sqrt,5,16,3,0.9538461538461539,77,0.08360910415649414
80,log2,8,32,3,0.9538461538461539,77,0.05440998077392578
80,sqrt,5,32,3,0.9538461538461539,77,0.05759906768798828
120,sqrt,,16,3,0.9538461538461539,77,0.08322501182556152
80,log2,,16,3,0.9538461538461539,77,0.050405025482177734
80,sqrt,,,1,0.9538461538461539,77,0.06084394454956055
40,log2,8,32,1,0.9538461538461539,77,0.027585983276367188
120,log2,5,,3,0.9538461538461539,77,0.154066801071167
120,sqrt,,32,3,0.9538461538461539,77,0.08681511878967285
40,log2,,16,1,0.9516483516483516,100,0.025601863861083984
40,0.5,8,16,3,0.9516483516483516,100,0.058632850646972656
80,log2,5,16,1,0.9516483516483516,100,0.05333590507507324
80,sqrt,,32,1,0.9516483516483516,100,0.058630943298339844
40,0.5,8,32,3,0.9516483516483516,100,0.05757594108581543
80,log2,8,,1,0.9516483516483516,100,0.05416512489318848
120,sqrt,,32,1,0.9516483516483516,100,0.08749818801879883
40,0.5,,16,3,0.9516483516483516,100,0.057325124740600586
40,0.5,,,1,0.9516483516483516,100,0.05936908721923828
80,log2,8,16,3,0.9516483516483516,100,0.05122685432434082
40,0.5,,32,3,0.9516483516483516,100,0.05770587921142578
120,log2,8,,3,0.9516483516483516,100,0.07950592041015625
80,sqrt,5,,1,0.9516483516483516,100,0.05694913864135742
80,sqrt,5,16,1,0.9516483516483516,100,0.056791067123413086
80,sqrt,5,32,1,0.9516483516483516,100,0.057624101638793945
120,sqrt,5,32,3,0.9516483516483516,100,0.08495903015136719
40,log2,8,16,1,0.9516483516483516,100,0.025823116302490234
40,0.5,8,,1,0.9516483516483516,100,0.059808969497680664
40,0.5,8,,3,0.9494505494505494,118,0.05716419219970703
40,log2,8,,1,0.9494505494505494,118,0.027153968811035156
40,0.5,8,32,1,0.9494505494505494,118,0.0604710578918457
80,log2,8,32,1,0.9494505494505494,118,0.055397987365722656
40,0.5,8,16,1,0.9494505494505494,118,0.05939483642578125
120,log2,5,16,1,0.9494505494505494,118,0.08363699913024902
40,0.5,,32,1,0.9494505494505494,118,0.06051301956176758
80,sqrt,8,32,1,0.9494505494505494,118,0.06012296676635742
40,0.5,,,3,0.9494505494505494,118,0.057350873947143555
40,0.5,,16,1,0.9494505494505494,118,0.059889793395996094
80,log2,8,16,1,0.9472527472527472,128,0.05084729194641113
40,log2,,,1,0.9472527472527472,128,0.027235746383666992
40,0.5,5,32,3,0.9472527472527472,128,0.05580329895019531
40,0.5,5,16,3,0.9472527472527472,128,0.054677724838256836
80,log2,,16,1,0.9472527472527472,128,0.05102062225341797
40,log2,5,16,1,0.9472527472527472,128,0.0781700611114502
40,log2,5,,1,0.945054945054945,134,0.025874853134155273
40,log2,8,,3,0.945054945054945,134,0.026862144470214844
40,log2,5,32,1,0.945054945054945,134,0.027089834213256836
40,sqrt,5,,1,0.9428571428571428,137,0.028584957122802734
40,log2,5,,3,0.9428571428571428,137,0.032156944274902344
40,sqrt,5,32,1,0.9428571428571428,137,0.02855086326599121
40,sqrt,,,3,0.9428571428571428,137,0.029569149017333984
40,log2,,,3,0.9428571428571428,137,0.026599884033203125
40,sqrt,5,16,1,0.9428571428571428,137,0.028497934341430664
40,sqrt,,32,3,0.9406593406593406,143,0.029240131378173828
40,sqrt,,16,3,0.9406593406593406,143,0.028115034103393555
40,sqrt,8,32,3,0.9406593406593406,143,0.029341936111450195
40,log2,8,32,3,0.9406593406593406,143,0.027826786041259766
40,sqrt,5,32,3,0.9406593406593406,143,0.029316186904907227
40,log2,5,32,3,0.9406593406593406,143,0.026072025299072266
40,sqrt,8,,3,0.9406593406593406,143,0.03022003173828125
40,sqrt,8,16,3,0.9406593406593406,143,0.02881908416748047
40,log2,5,16,3,0.9384615384615385,151,0.02624797821044922
40,log2,8,16,3,0.9384615384615385,151,0.025700092315673828
40,log2,,32,3,0.9384615384615385,151,0.02670001983642578
40,log2,,16,3,0.9384615384615385,151,0.026263713836669922
40,sqrt,5,16,3,0.9384615384615385,151,0.028181076049804688
40,sqrt,8,16,1,0.9384615384615385,151,0.029179811477661133
40,sqrt,,16,1,0.9384615384615385,151,0.02839207649230957
40,sqrt,8,,1,0.9362637362637363,158,0.03136801719665527
40,sqrt,,,1,0.9362637362637363,158,0.03237104415893555
40,sqrt,,32,1,0.9362637362637363,158,0.029509305953979492
40,sqrt,8,32,1,0.9340659340659341,161,0.030125141143798828
40,sqrt,5,,3,0.9340659340659341,161,0.02845597267150879
